agencyId,color,description,routeId,longName,shortName,textColor,type,url
70,,B - Pza. Italia x Cno. del Buen Ayre - Term. Ómnibus Mercedes: x Autop. Mercedes Palermo,70_633,JNAMBA057,57B,,3,
70,,B - Pza. Italia x Cno. del Buen Ayre - Term. Ómnibus Mercedes: x Autop. Palermo Mercedes,70_634,JNAMBA057,57B,,3,
70,,F - Pza. Italia - Pilar: x Autop. Palermo Pilar,70_1530,JNAMBA057,57F,,3,
70,,F - Pza. Italia - Pilar: x Autop. Pilar Palermo,70_1529,JNAMBA057,57F,,3,
70,,M - Pza. Italia x Cno. del Buen Ayre - Term. Ómnibus Mercedes: Expreso Palermo Mercedes,70_1603,JNAMBA057,57M,,3,
70,,M - Pza. Italia x Cno. del Buen Ayre - Term. Ómnibus Mercedes: Expreso Mercedes Palermo,70_1602,JNAMBA057,57M,,3,
70,,Ñ - Pza. Italia x Av. Cantilo y Acc. Norte - Est. Capilla del Señor: x Av. Cantilo Palermo Pilar,70_1613,JNAMBA057,57ENIE,,3,
70,,Ñ - Pza. Italia x Av. Cantilo y Acc. Norte - Est. Capilla del Señor: x Av. Lugones Pilar Palermo,70_1612,JNAMBA057,57ENIE,,3,
70,,H - Pza. Italia x RP 8 - Est. Capilla del Señor: x Ruta 8 Palermo Capilla,70_1609,JNAMBA057,57H,,3,
70,,H - Pza. Italia x RP 8 - Est. Capilla del Señor: x Ruta 8 Capilla Palermo,70_1608,JNAMBA057,57H,,3,
70,,A - Pza. Italia x RP 8 y 7 - Term. Ómnibus Mercedes: x Ruta 7 Palermo Mercedes,70_1607,JNAMBA057,57A,,3,
70,,A - Pza. Italia x RP 8 y 7 - Term. Ómnibus Mercedes: x Ruta 7 Mercedes Palermo,70_1606,JNAMBA057,57A,,3,
71,,Ramal Golf: Golf - IDA,71_701,JNAMBA105,105A,,3,
71,,Ramal Golf: Golf - VUELTA,71_702,JNAMBA105,105A,,3,
71,,Ramal Santos Lugares: Santos Lugares / Caseros - IDA,71_703,JNAMBA105,105B,,3,
71,,Ramal Santos Lugares: Santos Lugares / Caseros - VUELTA,71_704,JNAMBA105,105B,,3,
72,,CCK x Av. La Plata - Rotonda J. María Gutierrez: L (Roja) Alpargatas,72_904,JNAMBA159,159B,,3,
72,,CCK x Av. La Plata - Rotonda J. María Gutierrez: L (Roja) Correo Central,72_905,JNAMBA159,159B,,3,
72,,CCK - Pueblo Nuevo: L (Roja) Pueblo Nuevo,72_912,JNAMBA159,159C,,3,
72,,CCK - Pueblo Nuevo: L (Roja) Correo Central,72_913,JNAMBA159,159C,,3,
72,,CCK - Rotonda J. María Gutierrez: L (Azul) Alpargatas,72_1822,JNAMBA159,159A,,3,
72,,CCK x Autop.La Plata - Est. Berazategui: Semirápido Begui hacia Capital,72_1821,JNAMBA159,159J,,3,
72,,CCK x Autop.La Plata - Est. Berazategui: Semirápido Begui hacia Begui,72_1820,JNAMBA159,159J,,3,
72,,Expreso - CCK - Bº Gráfico: a Correo Central - Expreso,72_1819,JNAMBA159,159H,,3,
72,,Expreso - CCK - Bº Gráfico: a B° Gráfico - Expreso,72_1818,JNAMBA159,159H,,3,
72,,CCK - Bº Gráfico: a Correo Central,72_1817,JNAMBA159,159F,,3,
72,,CCK - Bº Gráfico: a BG - B° Grafico,72_1816,JNAMBA159,159F,,3,
72,,CCK - Est. Berazategui: 2 hacia C Central,72_1815,JNAMBA159,159E,,3,
72,,CCK - Est. Berazategui: 2 hacia Berazategui,72_1814,JNAMBA159,159E,,3,
72,,CCK x Av. Gral. B. Mitre - Cruce Fcio. Varela: 1 hacia C Central,72_1813,JNAMBA159,159D,,3,
72,,CCK x Av. Gral. B. Mitre - Cruce Fcio. Varela: 1 hacia C Varela,72_1812,JNAMBA159,159D,,3,
72,,CCK x Autop.La Plata - Ex Malteria Hudson: Semirápido Hudson hacia Capital,72_1829,JNAMBA159,159K,,3,
72,,CCK x Autop.La Plata - Ex Malteria Hudson: Semirápido Hudson hacia Hudson,72_1828,JNAMBA159,159K,,3,
72,,CCK x Autop.La Plata y Acc. Sudeste - Est. Quilmes: Semirapido Quilmes hacia Capital,72_1827,JNAMBA159,159I,,3,
72,,CCK x Autop.La Plata y Acc. Sudeste - Est. Quilmes: Semirápido Quilmes x Urquiza,72_1826,JNAMBA159,159I,,3,
72,,CCK - Rotonda J. María Gutierrez: L (Azul) Correo Central,72_1823,JNAMBA159,159A,,3,
72,,Ramal 3 (Negro): 3 (Negro) Est Quilmes,72_1059,JPBSAS219,219R3N,,3,
72,,Ramal 3 (Negro): 3 (Negro) Alpargatas,72_1058,JPBSAS219,219R3N,,3,
72,,Ramal A x Antártida Argentina: A - a Quilmes x Ant. Argentina,72_1066,JPBSAS300,300ANT,,3,
72,,Ramal 5: 5 Est. Quilmes,72_1065,JPBSAS219,219R5,,3,
72,,Ramal 5: 5 Cruce Varela,72_1064,JPBSAS219,219R5,,3,
72,,Ramal 3 (Rojo) - El Carmen: 3 Est Quilmes,72_1061,JPBSAS219,219R3R,,3,
72,,Ramal 3 (Rojo) - El Carmen: 3 (Rojo) El Carmen,72_1060,JPBSAS219,219R3R,,3,
72,,Ramal A x Sevilla: A - a Bosques x Sevilla,72_1069,JPBSAS300,300ASEV,,3,
72,,Ramal A x Sevilla: A - a Ducilo x Sevilla,72_1068,JPBSAS300,300ASEV,,3,
72,,Ramal A x Antártida Argentina: A - a Bosques x Ant. Argentina,72_1067,JPBSAS300,300ANT,,3,
72,,Quilmes - Bosques: a est Quilmes,72_1073,JPBSAS372,372A,,3,
72,,Quilmes - Bosques: a Bosque,72_1072,JPBSAS372,372A,,3,
72,,B1 - a Quilmes: B1 - a Bosques,72_1071,JPBSAS300,300B1,,3,
72,,B1 - a Quilmes: B1 - a Quilmes,72_1070,JPBSAS300,300B1,,3,
73,,Eva Peron y Av. San Martin - La Boca: a San Justo x Alcorta,73_2169,JNAMBA046,46A,,3,
73,,Eva Peron y Av. San Martin - La Boca: a La Boca x Alcorta,73_2168,JNAMBA046,46A,,3,
73,,Eva Peron y Av. San Martin - Pza. Constitución: a San Justo x Iriarte,73_2171,JNAMBA046,46B,,3,
73,,Eva Peron y Av. San Martin - Pza. Constitución: a La Boca x Iriarte,73_2170,JNAMBA046,46B,,3,
73,,Eva Peron y Av. San Martin - La Boca: a San Justo x Alcorta,73_1106,JNAMBA046,46A,,3,
73,,Eva Peron y Av. San Martin - La Boca: a La Boca x Alcorta,73_1105,JNAMBA046,46A,,3,
